æm   am             
æn   an             
eɪŋ  dang           
ɪŋ   ing            
ɹ    word           
ɑr   are            
ɔr   or             
ɛr   bear           
ir   fear           
/*
ɛrɪŋ bearing        
irɪŋ fearing        
ɔrɹ  poorer         
*/
æ    as             
ɑ    on             
oʊ   so             
ɛ    get            
eɪ   they           
ə    of             
ɪ    with           
i    be             
ʌ    but            
ʊ    good           
u    who            
aɪ   by             
æʊ   how            
ɔɪ   point          
ɾ    it'll          
ʔ    at             
.    pizza
oʊ   soul
ɨ    is it
